date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:10:07	1328/1328	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Mar%202021%2020:11:55%20GMT	https://tam-shellshock.swell.cl/robots.txt		(from )
00:10:08	318828/318828	---MC-	200	added ('OK')	text/html	date:Mon,%2022%20Mar%202021%2020:11:55%20GMT	https://tam-shellshock.swell.cl/	C:/Users/Maaz/Desktop/https___tam-shellshock.swell.cl/tam-shellshock.swell.cl/index.html	(from )
00:10:09	58935/58935	---M-Z	200	added ('OK')	text/css	etag:%225f0f47d3-e637%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.14.0/css/all.min.css	C:/Users/Maaz/Desktop/https___tam-shellshock.swell.cl/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.14.0/css/all.min.css	(from https://tam-shellshock.swell.cl/)
00:10:09	4468/4468	---MC-	200	added ('OK')	text/css	etag:W/%2260089545-1174%22	https://tam-shellshock.swell.cl/styles/transitions.css?1611175237	C:/Users/Maaz/Desktop/https___tam-shellshock.swell.cl/tam-shellshock.swell.cl/styles/transitionsa728.css	(from https://tam-shellshock.swell.cl/)
00:10:10	11046/11046	---MC-	200	added ('OK')	text/css	etag:W/%22604f91bc-2b26%22	https://tam-shellshock.swell.cl/styles/forms.css?1615827388	C:/Users/Maaz/Desktop/https___tam-shellshock.swell.cl/tam-shellshock.swell.cl/styles/forms3cfc.css	(from https://tam-shellshock.swell.cl/)
00:10:10	65287/65287	---MC-	200	added ('OK')	text/css	etag:W/%22604f91bc-ff07%22	https://tam-shellshock.swell.cl/styles/style.css?1615827388	C:/Users/Maaz/Desktop/https___tam-shellshock.swell.cl/tam-shellshock.swell.cl/styles/style3cfc.css	(from https://tam-shellshock.swell.cl/)
00:10:11	18558/18558	---MC-	200	added ('OK')	text/css	etag:W/%22604f91bc-487e%22	https://tam-shellshock.swell.cl/styles/game.css?1615827388	C:/Users/Maaz/Desktop/https___tam-shellshock.swell.cl/tam-shellshock.swell.cl/styles/game3cfc.css	(from https://tam-shellshock.swell.cl/)
00:10:11	1256/1256	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2020%20Mar%202021%2023:11:21%20GMT	https://example.com/crazygames-sdk-v1.js	C:/Users/Maaz/Desktop/https___tam-shellshock.swell.cl/example.com/crazygames-sdk-v1.5.delayed	(from https://tam-shellshock.swell.cl/)
00:10:12	1256/1256	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2017%20Mar%202021%2014:01:47%20GMT	http://example.com/libs/aiptag/pub/SSK/shellshock.io/tag.min.js	C:/Users/Maaz/Desktop/https___tam-shellshock.swell.cl/example.com/libs/aiptag/pub/SSK/shellshock.io/tag.min.6.delayed	(from https://tam-shellshock.swell.cl/)
00:10:12	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2022%20Mar%202021%2020:12:01%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/Maaz/Desktop/https___tam-shellshock.swell.cl/www.googletagmanager.com/gtm.75445.delayed	(from https://tam-shellshock.swell.cl/)
00:10:13	20155/20155	---M--	200	added ('OK')	text/javascript	date:Thu,%2024%20Sep%202020%2021:06:37%20GMT	https://www.gstatic.com/firebasejs/7.21.1/firebase-app.js	C:/Users/Maaz/Desktop/https___tam-shellshock.swell.cl/www.gstatic.com/firebasejs/7.21.1/firebase-app.js	(from https://tam-shellshock.swell.cl/)
00:10:14	173734/173734	---M--	200	added ('OK')	text/javascript	date:Thu,%2024%20Sep%202020%2021:06:38%20GMT	https://www.gstatic.com/firebasejs/7.21.1/firebase-auth.js	C:/Users/Maaz/Desktop/https___tam-shellshock.swell.cl/www.gstatic.com/firebasejs/7.21.1/firebase-auth.js	(from https://tam-shellshock.swell.cl/)
00:10:14	244702/244702	---M--	200	added ('OK')	text/javascript	date:Mon,%2027%20Jul%202020%2021:45:04%20GMT	https://www.gstatic.com/firebasejs/ui/4.6.1/firebase-ui-auth.js	C:/Users/Maaz/Desktop/https___tam-shellshock.swell.cl/www.gstatic.com/firebasejs/ui/4.6.1/firebase-ui-auth.js	(from https://tam-shellshock.swell.cl/)
00:10:14	42024/42024	---M--	200	added ('OK')	text/css	date:Mon,%2027%20Jul%202020%2021:45:04%20GMT	https://www.gstatic.com/firebasejs/ui/4.6.1/firebase-ui-auth.css	C:/Users/Maaz/Desktop/https___tam-shellshock.swell.cl/www.gstatic.com/firebasejs/ui/4.6.1/firebase-ui-auth.css	(from https://tam-shellshock.swell.cl/)
00:10:15	93376/93376	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2022%20Mar%202021%2020:12:03%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/Maaz/Desktop/https___tam-shellshock.swell.cl/connect.facebook.net/en_US/fbevents.js	(from https://tam-shellshock.swell.cl/)
00:10:16	1256/1256	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2020%20Mar%202021%2023:06:33%20GMT	https://example.com/sdks/OneSignalSDK.js	C:/Users/Maaz/Desktop/https___tam-shellshock.swell.cl/example.com/sdks/OneSignalSDK.d.delayed	(from https://tam-shellshock.swell.cl/)
